V1,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,bad_flag
3490,10111118,,19550,19550,19525,36 months,7.62,609.21,A,A3,Senior Social Worker,< 1 year,RENT,65478,Not Verified,Jan-2014,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=10111118,Borrower added on 01/04/14 > This loan will help my family regain control of our finances and allow us to get away from the revolving door of debt. Paying credit cards down at 15% and 20% is keeping us from saving up to buy a home and have more cash to pump into the economy.<br>,credit_card,Financial Freedom,950xx,CA,12.45,0,Apr-1992,705,709,0,,,12,0,14991,74.6,27,f,0,0,10709.34,10695.65,7076.36,1449.91,0,2183.07,392.4719999892,Mar-2015,609.21,"",Oct-2016,659,655,0,,1,Individual,,,"",0,0,109335,,,,,,,,,,,,20100,,,,4,9111,5109,74.6,0,0,177,261,23,13,0,23,,7,,0,4,4,4,9,11,4,14,4,12,0,0,0,0,100,50,0,0,106980,109335,20100,86880,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,1
96075,107090227,,15000,15000,15000,36 months,17.99,542.22,D,D2,Service Advisor,1 year,RENT,80000,Not Verified,May-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=107090227,"",major_purchase,Major purchase,604xx,IL,20.88,2,Aug-2006,695,699,0,13,,15,0,8,0,40,f,6801.32,6801.32,11898.86,11898.86,8198.68,3700.18,0,0,0,Mar-2019,542.22,Apr-2019,Mar-2019,614,610,1,13,1,Individual,,,"",0,0,50879,2,3,1,4,3,50871,88,1,6,8,62,24400,9,6,3,10,3634,18492,0,0,0,119,128,2,2,0,2,,3,47,3,1,1,7,10,21,12,18,1,15,0,0,2,2,89.7,0,0,0,82212,50879,18500,57812,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
40298,122296180,,15000,15000,15000,36 months,23.88,587.55,E,E2,Manager,6 years,RENT,40000,Source Verified,Nov-2017,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=122296180,"",debt_consolidation,Debt consolidation,070xx,NJ,35.88,1,Sep-1992,680,684,0,6,54,20,1,24470,45.2,39,f,0,0,2956.89,2956.89,1503.93,1452.96,0,0,0,May-2018,587.55,"",Mar-2019,574,570,0,,1,Individual,,,"",0,0,42567,2,2,1,2,8,18097,67,4,8,8139,52,54100,4,0,8,10,2240,17015,58.1,0,0,146,301,4,4,0,7,,8,,0,9,12,11,20,5,18,34,12,19,0,0,0,5,96.9,45.5,1,0,81220,42567,40600,27120,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,1
9923,125207255,,30000,30000,30000,36 months,6.72,922.48,A,A3,Analyst,1 year,RENT,450000,Source Verified,Dec-2017,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=125207255,"",moving,Moving and relocation,102xx,NY,2.99,0,Sep-2004,780,784,0,,,6,0,8101,18.7,15,w,0,0,30243.86,30243.86,30000,243.86,0,0,0,Jan-2018,30266.26,"",Feb-2019,694,690,0,,1,Individual,,,"",0,0,50555,0,2,1,1,12,27694,43,1,2,7500,35,43300,0,0,1,3,8426,31899,20.3,0,0,159,125,9,9,0,9,,10,,0,2,2,2,5,8,3,6,2,6,0,0,0,2,100,0,0,0,138715,50555,40000,66897,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
30745,123924168,,5000,5000,5000,36 months,6.08,152.3,A,A2,Records Clerk,2 years,OWN,21896.5,Verified,Nov-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=123924168,"",moving,Moving and relocation,394xx,MS,4.17,0,Feb-2003,780,784,0,,,7,0,1355,12.9,21,w,2889.48,2889.48,2435.11,2435.11,2110.52,324.59,0,0,0,Mar-2019,152.3,Apr-2019,Mar-2019,784,780,0,,1,Individual,,,"",0,0,1355,0,0,0,0,61,0,,0,0,256,13,10500,0,5,0,0,226,1244,17.1,0,0,122,177,35,35,0,146,,,,0,1,3,1,6,4,7,17,3,7,0,0,0,0,100,0,0,0,10500,1355,1500,0,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
30194,1416018,,9000,9000,9000,36 months,16.29,317.71,C,C4,choice construction,7 years,RENT,28000,Verified,Jul-2012,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1416018,Borrower added on 07/16/12 > Have 3 credit cards which were one year no interest but have jumped to 20% due to expences last year which i cannot elaborate on due to this sights rules i did not pay off. Payments are done and would like to lower my rate n make one mmonthly payment instead of 3. will have about 3000 after pay off<br>,credit_card,consolidate,014xx,MA,20.19,0,Jan-2003,670,674,1,,,7,0,6565,69.8,13,f,0,0,7275.01,7275.01,4705.7,1957.56,0,611.75,6.0950000043,May-2014,317.71,"",Oct-2016,604,600,0,,1,Individual,,,"",0,,,,,,,,,,,,,,,,,,3,,985,77.6,0,0,,,,,0,7,,1,,,,,4,,,,,,7,,,,,,75,0,0,,13950,4400,,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,1
10168,1387353,,14300,14300,14300,36 months,15.31,497.89,C,C2,center for human development,9 years,RENT,37000,Verified,Jul-2012,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1387353,Borrower added on 07/02/12 > Consolidate Credit Cards (All of them always paid on time)<br>,credit_card,credit card ref.,060xx,CT,32.41,0,Feb-1996,680,684,3,,,8,0,9256,81.9,31,f,0,0,17656.1699929522,17656.17,14300,3356.17,0,0,0,Oct-2014,4711.71,"",Jan-2019,704,700,0,,1,Individual,,,"",0,,,,,,,,,,,,,,,,,,4,,1044,89.9,0,0,,,,,0,5,,5,,,,,5,,,,,,8,,,,,,100,0,0,,60523,10300,,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
34608,124801051,,10000,10000,10000,36 months,14.08,342.17,C,C3,Machine operator,10+ years,MORTGAGE,59000,Source Verified,Nov-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=124801051,"",debt_consolidation,Debt consolidation,191xx,PA,15.91,0,Aug-2002,665,669,3,40,,16,0,21876,76.2,32,w,6335.86,6335.86,5116.91,5116.91,3664.14,1452.77,0,0,0,Mar-2019,342.17,Apr-2019,Mar-2019,684,680,0,40,1,Individual,,,"",0,0,172466,0,1,0,1,14,1011,67,2,10,4286,76,28700,2,0,4,11,10779,2762,76.2,0,0,132,183,8,8,2,14,40,2,40,7,5,13,5,14,3,14,27,13,16,0,0,0,2,75,60,0,0,198200,22887,11600,1500,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
10023,31847869,,10500,10500,10500,60 months,14.99,249.74,C,C5,composite technician,8 years,OWN,50000,Source Verified,Oct-2014,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=31847869,"",credit_card,Credit card refinancing,921xx,CA,35.53,0,Jul-2005,685,689,0,,,15,0,17018,50.8,34,w,0,0,7017.56,7017.56,3945.72,3071.84,0,0,0,Mar-2017,283.32,"",Feb-2019,659,655,0,,1,Individual,,,"",0,0,42318,,,,,,,,,,,,33500,,,,4,2821,676,95.1,0,0,104,111,8,8,0,13,,8,,0,4,10,4,12,8,13,26,11,15,0,0,0,2,100,100,0,0,74777,42318,13700,41277,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,1
10251,72625360,,18000,18000,18000,36 months,10.75,587.17,B,B4,Application Support,10+ years,MORTGAGE,103000,Not Verified,Mar-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72625360,"",home_improvement,Home improvement,315xx,GA,7.24,0,May-1986,775,779,0,,,12,0,13235,46.6,30,w,0,0,20915.3074995243,20915.31,18000,2915.31,0,0,0,May-2018,6228.14,"",Aug-2018,644,640,0,,1,Individual,,,"",0,0,299362,2,7,3,5,1,102420,82,0,0,13157,76,28400,0,0,0,5,27215,15165,46.6,0,0,46,357,28,1,7,28,,,,0,2,2,4,9,8,4,15,2,12,0,0,0,3,100,0,0,0,349078,115655,28400,124528,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
20425,15630659,,17000,17000,17000,36 months,8.39,535.79,A,A5,Teacher,10+ years,RENT,90000,Not Verified,May-2014,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=15630659,"",debt_consolidation,Debt consolidation,906xx,CA,19.56,0,Mar-1993,700,704,1,37,,14,0,3227,39.8,51,w,0,0,18905.4365413642,18905.44,17000,1905.44,0,0,0,Jun-2016,296.47,"",Nov-2017,629,625,0,37,1,Individual,,,"",0,0,150564,,,,,,,,,,,,8100,,,,4,10755,1964,60.7,0,0,189,221,17,13,6,17,,1,,3,3,5,3,5,36,5,8,5,14,0,0,0,0,90.2,33.3,0,0,142920,150564,5000,132092,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
97395,54197740,,15000,15000,14975,36 months,8.18,471.3,B,B1,Pharmacist,9 years,MORTGAGE,1e+05,Source Verified,Jul-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=54197740,"",credit_card,Credit card refinancing,335xx,FL,26.93,0,Sep-2003,670,674,0,,,15,0,21269,61.8,32,f,0,0,16767,16739.06,15000,1767,0,0,0,Aug-2017,5460.44,"",Mar-2019,674,670,0,,1,Individual,,,"",0,339,409062,,,,,,,,,,,,34400,,,,7,27271,5809,78.4,0,0,142,135,3,3,2,18,,10,,0,3,4,4,5,18,7,11,4,15,0,0,0,3,100,75,0,0,440560,95215,26900,89967,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
18549,108237988,,24000,24000,24000,36 months,7.97,751.75,A,A5,Registered Representative,6 years,OWN,230000,Source Verified,May-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=108237988,"",debt_consolidation,Debt consolidation,117xx,NY,5.9,1,Mar-2006,690,694,0,10,,13,0,16625,39.9,18,w,10017.96,10017.96,16448.17,16448.17,13982.04,2466.13,0,0,0,Mar-2019,751.75,Apr-2019,Mar-2019,724,720,0,45,1,Individual,,,"",0,0,467833,0,1,0,0,47,7269,29,0,3,4930,36,41700,0,0,1,3,35987,16490,48.9,0,0,134,118,14,14,1,14,10,9,10,1,6,8,7,8,4,11,13,8,13,0,0,0,0,83.3,28.6,0,0,660398,23894,32300,25423,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
53533,61443713,,14000,14000,14000,36 months,8.18,439.88,B,B1,Police Officer,8 years,MORTGAGE,80000,Not Verified,Oct-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61443713,"",debt_consolidation,Debt consolidation,913xx,CA,14.07,0,Dec-1999,670,674,1,,,9,0,13790,38.2,17,f,0,0,15819.4680700177,15819.47,14000,1819.47,0,0,0,Oct-2018,439.58,"",Jan-2019,714,710,0,,1,Individual,,,"",0,2269,389439,,,,,,,,,,,,36100,,,,3,43271,15810,46.6,0,0,142,190,6,6,2,6,,6,,0,4,4,6,7,5,7,10,4,9,0,0,0,2,100,0,0,0,447819,37886,29600,41556,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
27005,36230332,,10800,10800,10800,36 months,8.19,339.39,A,A5,owner,10+ years,MORTGAGE,125000,Source Verified,Dec-2014,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=36230332,"",other,Other,799xx,TX,12.87,0,Mar-2001,730,734,0,,57,9,2,5886,34.2,21,f,0,0,12027.040000292,12027.04,10800,1227.04,0,0,0,Nov-2016,4570.29,"",Mar-2019,724,720,0,,1,Individual,,,"",0,0,88835,,,,,,,,,,,,17200,,,,2,9871,9019,38.2,0,0,158,164,76,10,2,80,,0,,0,3,5,3,4,11,5,7,5,9,0,0,0,1,100,33.3,1,1,128807,40531,14600,44617,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
80719,131700649,,25000,25000,25000,36 months,24.84,991.89,E,E3,Commercial Real Estate Paralegal,< 1 year,OWN,110000,Verified,May-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=131700649,"",debt_consolidation,Debt consolidation,752xx,TX,28.29,0,Jul-2003,680,684,0,71,,7,0,29290,92.1,24,f,19788.9,19788.9,10081.77,10081.77,5211.1,4870.67,0,0,0,Mar-2019,991.89,Apr-2019,Mar-2019,689,685,0,,1,Individual,,,"",0,0,59764,0,2,0,1,13,30474,55,0,1,10491,69,31800,1,1,0,2,8538,539,97.8,0,0,122,147,13,13,11,13,,13,,0,3,5,3,4,5,5,8,5,7,0,0,0,0,95.7,100,0,0,86800,59764,24300,55000,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
31595,125698832,,8000,8000,8000,36 months,11.99,265.68,B,B5,Valve tech,2 years,RENT,75000,Not Verified,Dec-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=125698832,"",debt_consolidation,Debt consolidation,775xx,TX,9.74,0,Apr-2014,670,674,0,,,8,0,1586,16.9,8,w,5010.23,5010.23,3979.87,3979.87,2989.77,990.1,0,0,0,Mar-2019,265.68,Apr-2019,Mar-2019,749,745,0,,1,Individual,,,"",0,241,15215,0,1,0,0,44,13590,49,0,5,1104,41,9400,0,0,0,5,1902,7814,16.9,0,0,44,25,13,13,0,13,,13,,0,4,4,6,6,1,6,6,4,8,0,0,0,0,100,16.7,0,0,37438,15215,9400,27999,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
